,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
394,0.486,0.655,3,-5.415,1,0.0347,0.628,7.5e-06,0.128,0.359,133.734,audio_features,67eBprqjXUiKOzoK2jgsCe,spotify:track:67eBprqjXUiKOzoK2jgsCe,https://api.spotify.com/v1/tracks/67eBprqjXUiKOzoK2jgsCe,https://api.spotify.com/v1/audio-analysis/67eBprqjXUiKOzoK2jgsCe,267860,4
395,0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798,audio_features,7e89621JPkKaeDSTQ3avtg,spotify:track:7e89621JPkKaeDSTQ3avtg,https://api.spotify.com/v1/tracks/7e89621JPkKaeDSTQ3avtg,https://api.spotify.com/v1/audio-analysis/7e89621JPkKaeDSTQ3avtg,283800,4
396,0.585,0.532,7,-9.673,1,0.0268,0.209,0.00797,0.227,0.68,94.461,audio_features,1hHGUdFaiJHw9hVZGJWYO2,spotify:track:1hHGUdFaiJHw9hVZGJWYO2,https://api.spotify.com/v1/tracks/1hHGUdFaiJHw9hVZGJWYO2,https://api.spotify.com/v1/audio-analysis/1hHGUdFaiJHw9hVZGJWYO2,180067,4
397,0.644,0.623,0,-5.946,1,0.0251,0.0486,1.23e-06,0.348,0.773,94.959,audio_features,1UcMIxpMsQEVU4YnURWmzG,spotify:track:1UcMIxpMsQEVU4YnURWmzG,https://api.spotify.com/v1/tracks/1UcMIxpMsQEVU4YnURWmzG,https://api.spotify.com/v1/audio-analysis/1UcMIxpMsQEVU4YnURWmzG,195640,4
398,0.599,0.79,4,-3.58,1,0.043,0.00257,0.00181,0.312,0.961,103.783,audio_features,05NYcsjJwOYq4jIiKPVj9p,spotify:track:05NYcsjJwOYq4jIiKPVj9p,https://api.spotify.com/v1/tracks/05NYcsjJwOYq4jIiKPVj9p,https://api.spotify.com/v1/audio-analysis/05NYcsjJwOYq4jIiKPVj9p,188067,4
399,0.406,0.713,7,-5.49,1,0.0348,0.276,0.00354,0.112,0.577,164.444,audio_features,4fUU9WKxEgJXyrZJsUA2iP,spotify:track:4fUU9WKxEgJXyrZJsUA2iP,https://api.spotify.com/v1/tracks/4fUU9WKxEgJXyrZJsUA2iP,https://api.spotify.com/v1/audio-analysis/4fUU9WKxEgJXyrZJsUA2iP,365093,4
400,0.579,0.874,11,-3.511,1,0.0686,0.0269,0.0,0.393,0.379,138.972,audio_features,6WaPKTy7RYb21gs8PasOPL,spotify:track:6WaPKTy7RYb21gs8PasOPL,https://api.spotify.com/v1/tracks/6WaPKTy7RYb21gs8PasOPL,https://api.spotify.com/v1/audio-analysis/6WaPKTy7RYb21gs8PasOPL,179253,4
401,0.659,0.745,10,-3.599,1,0.0347,0.0417,0.0,0.296,0.54,74.967,audio_features,3DZ8dbKg4OTSSqGARvecYd,spotify:track:3DZ8dbKg4OTSSqGARvecYd,https://api.spotify.com/v1/tracks/3DZ8dbKg4OTSSqGARvecYd,https://api.spotify.com/v1/audio-analysis/3DZ8dbKg4OTSSqGARvecYd,185600,4
402,0.792,0.702,11,-6.999,0,0.135,0.074,1.84e-05,0.0831,0.763,129.789,audio_features,4KAXqEF9LkQKEgSNMmxDHJ,spotify:track:4KAXqEF9LkQKEgSNMmxDHJ,https://api.spotify.com/v1/tracks/4KAXqEF9LkQKEgSNMmxDHJ,https://api.spotify.com/v1/audio-analysis/4KAXqEF9LkQKEgSNMmxDHJ,173574,4
403,0.584,0.696,6,-5.942,1,0.0803,0.0265,0.0365,0.161,0.565,179.91,audio_features,7aHzBx4XwGc0e1d7sKd5Md,spotify:track:7aHzBx4XwGc0e1d7sKd5Md,https://api.spotify.com/v1/tracks/7aHzBx4XwGc0e1d7sKd5Md,https://api.spotify.com/v1/audio-analysis/7aHzBx4XwGc0e1d7sKd5Md,146667,4
